Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
263,-0.5896,355,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
264,-0.5888,320,White,random,-0.3573,-0.3573,-0.3573,1/2-1/2,0
265,-0.588,428,White,random,1.745,1.745,1.2715,1/2-1/2,0
266,-0.9,435,White,random,1.7329,1.7329,1.4727,1/2-1/2,0
267,-1,90,White,random,2.0448,2.0448,1.3003,0-1,0
268,-1,216,White,random,1.7235,1.7235,0.9806,0-1,0
269,-1,392,White,random,1.5893,1.5893,0.7721,0-1,0
270,-1,286,White,random,1.6586,1.6586,0.7963,0-1,0
271,-0.5832,378,White,random,1.4633,1.4633,0.7804,1/2-1/2,0
272,-0.5824,295,White,random,1.642,1.642,0.9831,1/2-1/2,0
273,-0.5816,392,White,random,1.5122,1.5122,0.7208,1/2-1/2,0
274,-0.9,435,White,random,1.7295,1.7295,0.8632,1/2-1/2,0
275,-0.58,301,White,random,1.5902,1.5902,1.1734,1/2-1/2,0
276,-0.5792,697,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
277,-0.5784,537,White,random,1.0809,1.0809,0.6045,1/2-1/2,0
278,-0.5776,637,White,random,1.8761,1.8761,1.3539,1/2-1/2,0
279,-0.5768,447,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
280,-0.576,628,White,random,1.7966,1.7966,1.3485,1/2-1/2,0
281,-0.5752,579,White,random,1.5527,1.5527,0.5926,1/2-1/2,0
282,-1,246,White,random,1.4865,1.4865,0.1975,0-1,0
283,-0.5736,529,White,random,1.5531,1.5531,1.5099,1/2-1/2,0
284,-0.9,512,White,random,1.6592,1.6592,1.2628,1/2-1/2,0
285,-0.572,491,White,random,1.4639,1.4639,1.2238,1/2-1/2,0
286,-0.5712,665,White,random,1.6447,1.6447,0.7622,1/2-1/2,0
287,-0.9,629,White,random,1.7836,1.7836,1.3775,1/2-1/2,0
288,-0.5696,674,White,random,1.7629,1.7629,1.0998,1/2-1/2,0
289,-0.5688,478,White,random,1.4303,1.4303,0.7485,1/2-1/2,0
290,-1,384,White,random,1.4311,1.4311,1.3777,0-1,0
291,-0.5672,544,White,random,1.514,1.514,0.7426,1/2-1/2,0
292,-0.5664,286,White,random,1.825,1.825,0.6822,1/2-1/2,0
293,-0.9,474,White,random,1.5643,1.5643,1.2412,1/2-1/2,0
294,-0.5648,324,White,random,1.5074,1.5074,1.4341,1/2-1/2,0
295,-0.564,508,White,random,1.8595,1.8595,0.6861,1/2-1/2,0
296,-0.9,442,White,random,1.5599,1.5599,0.722,1/2-1/2,0
297,-0.5624,535,White,random,1.5568,1.5568,1.1627,1/2-1/2,0
298,-0.5616,667,White,random,1.494,1.494,1.158,1/2-1/2,0
299,-0.5608,513,White,random,1.1714,1.1714,1.1714,1/2-1/2,0
300,-0.9,46,White,self,2.0522,2.0522,1.5871,1/2-1/2,0
301,-0.9,329,White,past,3.5923,3.5923,1.1605,1/2-1/2,0
302,-0.9,39,White,self,3.8959,3.8959,2.6847,1/2-1/2,0
303,-0.9,298,White,self,3.6941,3.6941,2.5158,1/2-1/2,0
304,-0.9,25,White,self,3.8684,3.8684,2.7865,1/2-1/2,0
305,-0.9,107,White,past,3.6788,3.6788,2.3321,1/2-1/2,0
306,-0.9,29,White,self,3.5963,3.5963,2.6342,1/2-1/2,0
307,-0.9,25,White,self,3.8686,3.8686,3.089,1/2-1/2,0
308,-0.9,41,White,self,3.6801,3.6801,2.7086,1/2-1/2,0
309,-0.9,204,White,past,3.7077,3.7077,2.4253,1/2-1/2,0
310,-0.9,80,White,past,3.7189,3.7189,2.2582,1/2-1/2,0
311,-0.9,44,White,self,3.7208,3.7208,3.1165,1/2-1/2,0
312,-0.5504,515,White,random,3.33,3.33,1.0708,1/2-1/2,0
313,-0.9,53,White,self,4.0471,4.0471,2.3692,1/2-1/2,0
314,-0.5488,434,White,random,3.733,3.733,3.22,1/2-1/2,0
315,-0.9,149,White,self,3.8188,3.8188,1.4989,1/2-1/2,0
316,-0.9,207,White,random,3.63,3.63,1.3987,1/2-1/2,0
317,-0.9,29,White,self,4.0028,4.0028,2.7063,1/2-1/2,0
318,-0.9,33,White,self,3.8064,3.8064,2.7197,1/2-1/2,0
319,-0.9,466,White,past,3.496,3.496,2.9211,1/2-1/2,0
320,-0.9,535,White,past,3.632,3.632,2.5602,1/2-1/2,0
321,-0.9,125,White,past,3.8999,3.8999,2.1924,1/2-1/2,0
322,-0.9,384,White,random,3.6351,3.6351,3.0091,1/2-1/2,0
323,-0.9,125,White,self,3.67,3.67,2.2278,1/2-1/2,0
324,-0.9,376,White,past,3.8235,3.8235,2.6562,1/2-1/2,0
325,-0.9,30,White,self,3.6212,3.6212,2.8325,1/2-1/2,0
326,-0.9,78,White,self,3.76,3.76,2.912,1/2-1/2,0
327,-0.9,312,White,past,3.9862,3.9862,2.4848,1/2-1/2,0
328,-0.9,81,White,self,4.1316,4.1316,2.486,1/2-1/2,0
